Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
96093,51579,Female,disloyal Customer,20,Business travel,Eco,598,4,0,4,4,5,4,4,5,1,2,5,4,1,5,0,,satisfied
4490,48504,Male,disloyal Customer,30,Business travel,Eco,737,4,4,4,3,2,4,2,2,5,1,4,1,3,2,22,,neutral or dissatisfied
22939,99446,Male,Loyal Customer,60,Business travel,Business,283,0,0,0,2,5,5,5,2,2,2,2,3,2,5,36,,satisfied
23505,102803,Male,Loyal Customer,41,Business travel,Business,2472,3,3,3,3,5,5,5,4,4,4,4,4,4,3,86,,satisfied
9940,16569,Female,Loyal Customer,60,Business travel,Eco,1092,2,3,3,3,2,3,3,2,2,2,2,3,2,4,16,,neutral or dissatisfied
26310,28658,Male,Loyal Customer,31,Personal Travel,Eco,2541,3,2,3,3,3,3,3,3,1,3,2,2,3,3,0,,neutral or dissatisfied
33937,43046,Female,disloyal Customer,33,Business travel,Eco,391,1,0,1,2,3,1,3,3,1,5,2,5,4,3,0,,neutral or dissatisfied
61344,71301,Male,Loyal Customer,33,Business travel,Business,1514,3,3,2,2,3,3,3,3,3,2,3,2,4,3,0,,neutral or dissatisfied
82625,17633,Male,Loyal Customer,21,Personal Travel,Eco,980,3,4,3,4,3,2,2,2,3,3,3,2,2,2,190,,neutral or dissatisfied
18724,40434,Male,Loyal Customer,44,Business travel,Business,3383,2,2,3,2,2,2,4,5,5,5,5,5,5,4,70,,satisfied
27992,63854,Male,Loyal Customer,45,Business travel,Business,1172,4,4,4,4,5,4,5,4,4,4,4,5,4,5,17,,satisfied
52878,74889,Male,Loyal Customer,34,Personal Travel,Business,2475,1,5,1,3,4,5,4,1,1,1,1,5,1,4,0,,neutral or dissatisfied
98446,20953,Female,Loyal Customer,45,Business travel,Eco,689,3,5,5,5,1,4,5,3,3,3,3,3,3,3,0,,satisfied
102552,27684,Female,disloyal Customer,29,Business travel,Eco,1107,2,1,1,1,5,1,3,5,4,1,5,5,3,5,0,,neutral or dissatisfied
94624,2755,Female,Loyal Customer,18,Personal Travel,Eco,772,1,4,1,3,2,1,2,2,1,2,3,2,3,2,0,,neutral or dissatisfied
96355,12798,Female,Loyal Customer,29,Business travel,Business,817,2,2,2,2,5,5,5,5,4,2,1,3,2,5,92,,satisfied
2485,121173,Female,Loyal Customer,28,Personal Travel,Eco,2370,4,5,4,3,3,4,3,3,5,4,4,5,4,3,3,,satisfied
